카테고리: 모든 카테고리

주,NC Soft: (대한민국),김택진: (대한민국),3N: (대한민국)
2021-03-21,7,45,7
2021-03-28,15,30,8
2021-04-04,2,15,2
2021-04-11,7,22,12
2021-04-18,3,10,20
2021-04-25,7,2,10
2021-05-02,5,3,3
2021-05-09,12,7,15
2021-05-16,5,10,10
2021-05-23,2,17,7
2021-05-30,2,10,12
2021-06-06,10,2,15
2021-06-13,5,7,10
2021-06-20,0,13,5
2021-06-27,3,13,3
2021-07-04,3,10,5
2021-07-11,7,31,7
2021-07-18,8,16,10
2021-07-25,3,8,0
2021-08-01,16,18,8
2021-08-08,3,18,21
2021-08-15,0,15,8
2021-08-22,29,47,15
2021-08-29,15,79,10
2021-09-05,11,35,8
2021-09-12,13,97,13
2021-09-19,0,49,9
2021-09-26,16,30,11
2021-10-03,8,33,5
2021-10-10,5,8,3
2021-10-17,8,5,14
2021-10-24,6,11,8
2021-10-31,6,64,11
2021-11-07,14,14,5
2021-11-14,5,16,3
2021-11-21,11,14,8
2021-11-28,3,8,11
2021-12-05,0,3,3
2021-12-12,0,8,8
2021-12-19,3,8,11
2021-12-26,0,0,3
2022-01-02,0,8,6
2022-01-09,0,8,5
2022-01-16,0,3,3
2022-01-23,3,5,5
2022-01-30,0,3,6
2022-02-06,3,14,8
2022-02-13,8,5,3
2022-02-20,3,13,8
2022-02-27,0,100,8
2022-03-06,5,13,16
2022-03-13,0,6,6
